Inserted 5109 records into 'uplinks'.

--- 1. Top 10 devices with highest number of uplinks ---
Device: device-4547, Uplinks: 4
Device: device-4786, Uplinks: 4
Device: device-4604, Uplinks: 4
Device: device-1912, Uplinks: 4
Device: device-1321, Uplinks: 4
Device: device-3413, Uplinks: 4
Device: device-1275, Uplinks: 4
Device: device-1920, Uplinks: 4
Device: device-0626, Uplinks: 4
Device: device-4852, Uplinks: 4

--- 2. Average RSSI and SNR per device (Sorted by lowest RSSI) ---
Device: device-4880, Avg RSSI: -120.00, Avg SNR: 7.57
Device: device-3175, Avg RSSI: -120.00, Avg SNR: -7.94
Device: device-1272, Avg RSSI: -120.00, Avg SNR: 7.44
Device: device-2345, Avg RSSI: -120.00, Avg SNR: -5.38
Device: device-1010, Avg RSSI: -120.00, Avg SNR: -2.18

--- 3. Average Temperature and Humidity per Gateway ---
Gateway: soldier-various, Avg Temp: 28.73, Avg Humidity: 14.38
Gateway: none-build-go-loss, Avg Temp: 41.67, Avg Humidity: 39.34
Gateway: believe-quality, Avg Temp: -6.51, Avg Humidity: 61.53
Gateway: eye-letter-southern, Avg Temp: 30.94, Avg Humidity: 51.17
Gateway: other-executive, Avg Temp: 1.09, Avg Humidity: 57.94
Gateway: threat-anything-bar, Avg Temp: 44.79, Avg Humidity: 82.02
Gateway: consumer-turn, Avg Temp: 36.55, Avg Humidity: 61.03
Gateway: simply-term-number, Avg Temp: 9.07, Avg Humidity: 20.96
Gateway: eat-father-outside, Avg Temp: 19.34, Avg Humidity: 37.06
Gateway: both-dark-kitchen, Avg Temp: -7.31, Avg Humidity: 83.33
Gateway: story-single-top-tv, Avg Temp: 7.84, Avg Humidity: 89.96
Gateway: despite-certainly, Avg Temp: 5.68, Avg Humidity: 85.10
Gateway: those-listen, Avg Temp: -8.61, Avg Humidity: 85.42
Gateway: authority-month, Avg Temp: 21.07, Avg Humidity: 70.98
Gateway: sister-southern-box, Avg Temp: 29.17, Avg Humidity: 26.44
Gateway: impact-wall-some, Avg Temp: -4.54, Avg Humidity: 81.95
Gateway: beyond-well-through, Avg Temp: 27.57, Avg Humidity: 49.59
Gateway: teacher-sure, Avg Temp: 0.40, Avg Humidity: 88.88
Gateway: quickly-bag-main, Avg Temp: 36.73, Avg Humidity: 76.02
Gateway: forward-figure-yes, Avg Temp: 10.59, Avg Humidity: 19.76
Gateway: successful-number, Avg Temp: 44.78, Avg Humidity: 48.15
Gateway: education-gas, Avg Temp: 4.61, Avg Humidity: 65.50
Gateway: number-head-coach, Avg Temp: 12.49, Avg Humidity: 32.98
Gateway: down-billion-life, Avg Temp: 37.72, Avg Humidity: 19.16
Gateway: season-open-contain, Avg Temp: 42.36, Avg Humidity: 24.11
Gateway: list-bring-but-girl, Avg Temp: 27.72, Avg Humidity: 55.10
Gateway: before-hand-while, Avg Temp: 38.26, Avg Humidity: 65.02
Gateway: parent-eye-congress, Avg Temp: 2.57, Avg Humidity: 27.12
Gateway: result-away-eight, Avg Temp: -4.65, Avg Humidity: 84.42
Gateway: heart-everything, Avg Temp: 45.13, Avg Humidity: 64.34
Gateway: against-learn-her, Avg Temp: 8.72, Avg Humidity: 26.00
Gateway: example-education, Avg Temp: 48.13, Avg Humidity: 16.16
Gateway: network-perform, Avg Temp: 44.29, Avg Humidity: 50.16
Gateway: item-against-fear, Avg Temp: 32.38, Avg Humidity: 69.10
Gateway: spend-identify, Avg Temp: 26.02, Avg Humidity: 31.18
